Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Alte Karten,binder,Temple of the False God,DSC,Duskmourn: House of Horror Commander,313,normal,uncommon,1,99079,23d62c88-3a7a-4eef-8ec4-ff1243e6ce93,0.17,false,false,near_mint,en,CHF,2026-06-17T06:12:24.557Z
Alte Karten,binder,Forgotten Cave,CMR,Commander Legends,483,normal,common,1,55995,084bf9fe-78d2-4fef-8514-ed64d6c771e6,0.21,false,false,near_mint,en,CHF,2026-06-17T06:12:24.551Z
Alte Karten,binder,Smoldering Crater,DMR,Dominaria Remastered,257,normal,common,1,78150,ddcfaaed-c139-4787-946f-59800bde71e4,0.23,false,false,near_mint,en,CHF,2026-06-17T06:12:24.548Z
Alte Karten,binder,Mind Stone,BLC,Bloomburrow Commander,280,normal,uncommon,1,96305,5cf95476-27ed-487d-8459-c97a921bb808,0.27,false,false,near_mint,en,CHF,2026-06-17T06:12:24.543Z
Alte Karten,binder,Buried Ruin,EOC,Edge of Eternities Commander,150,normal,uncommon,1,107287,7ab1a074-9d92-4125-9200-84cd035f8f53,0.26,false,false,near_mint,en,CHF,2026-06-17T06:12:24.541Z
Alte Karten,binder,Ghost Quarter,CM2,Commander Anthology Volume II,253,normal,uncommon,1,1484,12f8071c-8955-4aa2-889c-6043df047223,0.72,false,false,near_mint,en,CHF,2026-06-17T06:12:24.536Z
Alte Karten,binder,Phyrexia's Core,C21,Commander 2021,309,normal,uncommon,1,58626,8d8df09f-d22f-4f29-b920-358433f81b76,0.28,false,false,near_mint,en,CHF,2026-06-17T06:12:24.535Z
Alte Karten,binder,Reliquary Tower,TDC,Tarkir: Dragonstorm Commander,386,normal,uncommon,1,104714,6be3be55-7f9d-4a4c-b916-a1cb64f833c8,2.55,false,false,near_mint,en,CHF,2026-06-17T06:12:24.531Z
Alte Karten,binder,Great Furnace,EOC,Edge of Eternities Commander,161,normal,common,1,107282,74c5bb44-d72c-4c1a-a38f-86b4a8f49ae1,1.74,false,false,near_mint,en,CHF,2026-06-17T06:12:24.530Z
Alte Karten,binder,Arcane Lighthouse,CMM,Commander Masters,985,normal,uncommon,1,84527,7c247fd6-09f3-40cd-b3fb-53b6526e1dcf,5.54,false,false,near_mint,en,CHF,2026-06-17T06:12:24.529Z
Alte Karten,binder,Dormant Volcano,CM2,Commander Anthology Volume II,246,normal,uncommon,1,1491,83f90da4-9b01-431d-83b1-f54c132efec1,0.86,false,false,near_mint,en,CHF,2026-06-17T06:12:24.526Z
Alte Karten,binder,Flamekin Village,ECC,Lorwyn Eclipsed Commander,149,normal,rare,1,110639,df0affe7-92d8-422f-833d-74089626b829,0.25,false,false,near_mint,en,CHF,2026-06-17T06:12:24.525Z
Alte Karten,binder,Faithless Looting,TDC,Tarkir: Dragonstorm Commander,213,normal,common,1,104933,c43aeb5a-8bdc-4aa9-89d1-156f97ac38aa,0.24,false,false,near_mint,en,CHF,2026-06-17T06:12:24.520Z
Alte Karten,binder,Hoard-Smelter Dragon,AFC,Forgotten Realms Commander,128,normal,rare,1,60663,2f4c5867-73c4-4e10-bbf5-6a69df879547,0.25,false,false,near_mint,en,CHF,2026-06-17T06:12:24.519Z
Alte Karten,binder,Dreamstone Hedron,M3C,Modern Horizons 3 Commander,289,normal,uncommon,1,94918,25c5e6f8-eec6-4a90-b7c6-36f882bab64a,0.26,false,false,near_mint,en,CHF,2026-06-17T06:12:24.518Z
Alte Karten,binder,Spitebellows,CM2,Commander Anthology Volume II,117,normal,uncommon,1,1620,497f8aae-fd62-4cc6-9ccc-22d5ee4f6b81,0.2,false,false,near_mint,en,CHF,2026-06-17T06:12:24.517Z
Alte Karten,binder,Sol Ring,M3C,Modern Horizons 3 Commander,305,normal,uncommon,1,94714,19911e6e-7c35-4281-b31c-266382f052cc,1.32,false,false,near_mint,en,CHF,2026-06-17T06:12:24.516Z
Alte Karten,binder,Unstable Obelisk,CMM,Commander Masters,416,normal,common,1,84634,94eba26e-7c9e-46f3-ad13-aa684f3365cb,0.21,false,false,near_mint,en,CHF,2026-06-17T06:12:24.515Z
Alte Karten,binder,Myr Sire,CMM,Commander Masters,400,normal,common,1,84063,11ba43d1-e879-40e0-b49c-e009deb7e3aa,0.13,false,false,near_mint,en,CHF,2026-06-17T06:12:24.514Z
Alte Karten,binder,Steel Hellkite,TDC,Tarkir: Dragonstorm Commander,327,normal,rare,1,104651,548cbc66-d915-4b94-86da-4c909a1ce645,0.25,false,false,near_mint,en,CHF,2026-06-17T06:12:24.513Z
Alte Karten,binder,Tuktuk the Explorer,2XM,Double Masters,149,normal,rare,1,51992,b17f5403-7692-41ca-a3c9-b81c31bddc00,0.28,false,false,near_mint,en,CHF,2026-06-17T06:12:24.512Z
